// 20k words/01
的	de5
争斗	zheng1dou4
烛	zhu2
自首	zi4shou3
暴动	bao4dong4
变态	bian4tai4
才子	cai2zi3
差价	cha1jia4
沉醉	chen2zui4
淀粉	dian4fen3
动脉	dong4mai4
纷繁	fen1fan2
挥动	hui1dong4
或多或少	huo4duo1 huo4shao3
街巷	jie1xiang4
节电	jie2dian4
精子	jing1zi3
跨度	kua4du4
麦当劳	Mai4dang1lao2
判刑	pan4xing2
潜意识	qian2yi4shi2
浅薄	qian3bo2
热土	re4tu3
玩忽职守	wan2hu1-zhi2shou3
消逝	xiao1shi4
宣传队	xuan1chuan2dui4
药方	yao4fang1
主机	zhu3ji1
阻拦	zu3lan2
巴不得	ba1bu5de5
不消	bu4xiao1
常住	chang2zhu4
低矮	di1ai3
电子计算机	dian4zi3 ji4suan4ji1
咕	gu1
郊	jiao1
睫毛	jie2mao2
开销	kai1xiao1
可可	ke3ke3
劝慰	quan4wei4
天平	tian1ping2
孝敬	xiao4jing4
行医	xing2yi1
硬盘	ying4pan2
争先	zheng1xian1
鞭策	bian1ce4
大典	da4dian3
分清	fen1qing1
高耸	gao1song3
更名	geng1ming2
公有	gong1you3
花瓶	hua1ping2
简朴	jian3pu3
居室	ju1shi4
可口	ke3kou3
面人儿	mian4ren2r5
排演	pai2yan3
叛乱	pan4luan4
启事	qi3shi4
色泽	se4ze2
山庄	shan1zhuang1
算数	suan4shu4
挽留	wan3liu2
显眼	xian3yan3
训斥	xun4chi4
幽幽	you1you1
壮族	Zhuang4zu2
病因	bing4yin1
儿时	er2shi2
发音	fa1yin1
雇用	gu4yong4
南瓜	nan2gua1
嫖	piao2
仁义	ren2yi4
拖鞋	tuo1 xie2
祥云	xiang2yun2
郁	yu4
避暑	bi4shu3
不振	bu4zhen4
惨痛	can3tong4
插图	cha1tu2
隔绝	ge2jue2
工种	gong1zhong3
航空器	hang2kong1qi4
脚印	jiao3yin4
骏马	jun4ma3
来客	lai2ke4
鲤鱼	li3yu2
领空	ling3kong1
面具	mian4ju4
泥石流	ni2shi2liu2
色调	se4diao4
声援	sheng1yuan2
涮	shuan4
特派	te4pai4
相撞	xiang1zhuang4
小鬼	xiao3gui3
液化	ye4hua4
一瞬	yi1shun4
硬化	ying4hua4
由来	you2lai2
有条不紊	you3tiao2 bu4wen3
总产	zong3chan3
翻滚	fan1gun3
付诸	fu4zhu1
灌输	guan4shu1
火药	huo3yao4
接应	jie1ying4
井下	jing3xia4
敬礼	jing4li3
口水	kou3shui3
矿泉水	kuang4quan2shui3
累积	lei3ji1
内线	nei4xian4
皮带	pi2dai4
签发	qian1fa1
轻型	qing1xing2
秋收	qiu1shou1
深重	shen1zhong4
说笑	shuo1xiao4
听觉	ting1jue2
无能为力	wu2 neng2 wei2 li4
吓唬	xia4hu5
原则性	yuan2ze2xing4
真谛	zhen1di4
中坚	zhong1jian1
卓著	zhuo2zhu4
白面	bai2mian4
比价	bi3jia4
补课	bu3ke4
测验	ce4yan4
订婚	ding4hun1
洞穴	dong4xue2
繁荣昌盛	fan2rong2-chang1sheng4
机枪	ji1qiang1
鲸	jing1
路费	lu4fei4
悄声	qiao3sheng1
求是	qiu2shi4
日均	ri4jun1
洒脱	sa3tuo1
乌龟	wu1gui1
下定	xia4ding4
杂草	za2cao3
争先恐后	zheng1xian1kong3hou4
知识青年	zhi1shi5 qing1nian2
布景	bu4jing3
冲洗	chong1xi3
得体	de2ti3
离奇	li2qi2
难听	nan2ting1
攀比	pan1bi3
拳击	quan2ji1
相率	xiang1shuai4
修炼	xiu1lian4
游离	you2li2
栽植	zai1zhi2
知心	zhi1xin1
总而言之	zong3 er2 yan2 zhi1
港元	gang3yuan2
谷地	gu3di4
狠心	hen3xin1
交响曲	jiao1xiang3qu3
冷气	leng3qi4
论著	lun4zhu4
名贵	ming2gui4
其时	qi2shi2
权势	quan2shi4
柔道	rou2dao4
生源	sheng1yuan2
柿子	shi4zi5
西汉	Xi1 Han4
虚幻	xu1huan4
阉	yan1
眼球	yan3qiu2
枣树	zao3shu4
震荡	zhen4dang4
致函	zhi4han2
自来	zi4lai2
足下	zu2xia4
参事	can1shi4
产后	chan3hou4
沉睡	chen2shui4
丢人	diu1ren2
告示	gao4shi5
刮目相看	gua1mu4-xiang1kan4
静默	jing4mo4
离任	li2ren4
拍手	pai1shou3
贫血	pin2xue4
书目	shu1mu4
通货	tong1huo4
铜像	tong2xiang4
托人	tuo1ren2
锈	xiu4
以西	yi3xi1
罢休	ba4xiu1
病理	bing4li3
初夏	chu1xia4
灰白	hui1bai2
空隙	kong4xi4
疟疾	nüe4ji5
强者	qiang2zhe3
设若	she4ruo4
收视	shou1shi4
苏醒	su1xing3
探寻	tan4xun2
维新	wei2xin1
暂且	zan4qie3
主妇	zhu3fu4
卓	zhuo2
伴侣	ban4lü3
波及	bo1ji2
唱腔	chang4qiang1
大蒜	da4suan4
堕	duo4
古都	gu3du1
划时代	hua4shi2dai4
货源	huo4yuan2
老婆子	lao3po2zi5
泪花	lei4hua1
门缝	men2feng4
耐人寻味	nai4ren2xun2wei4
男女老少	nan2-nü3-lao3-shao4
奴婢	nu2bi4
善待	shan4dai4
生根	sheng1gen1
圣火	sheng4huo3
通则	tong1ze2
下床	xia4chuang2
宪兵	xian4bing1
心病	xin1bing4
咒骂	zhou4ma4
字迹	zi4ji4
爱惜	ai4xi1
宝剑	bao3jian4
不要脸	bu4yao4lian3
粗壮	cu1zhuang4
党群	dang3qun2
登场	deng1chang3
反常	fan3chang2
肥沃	fei1wo4
划拨	hua4bo1
叫唤	jiao4huan5
经济林	jing1ji4lin2
掂	dian1
// 20k words/16
巨幅	ju4fu2
炼油	lian4you2
年岁	nian2sui4
茄子	qie2zi5
生态平衡	sheng1tai4 ping2heng2
实况	shi2kuang4
赎	shu2
太阳系	tai4yang2xi4
推倒	tui1dao3
香水	xiang1shui3
争气	zheng1qi4
房顶	fang2ding3
光临	guang1lin2
海岸线	hai3an4xian4
家居	jia1ju1
鞠	ju1
亏得	kui1de5
连载	lian2zai3
轮子	lun2zi5
盆景	pen2jing3
全套	quan2tao4
唯物论	wei2wu4lun4
未可	wei4ke3
心连心	xin1lian2xin1
野花	ye3hua1
医术	yi1shu4
语录	yu3lu4
原型	yuan2xing2
庇护	bi4hu4
锄头	chu2tou5
创收	chuang4shou1
村寨	cun1zhai4
倒卖	dao3mai4
锋利	feng1li4
估	gu1
急事	ji2shi4
焦灼	jiao1zhuo2
结合部	jie2he2bu4
冷冻	leng3dong4
无常	wu2chang2
瞎说	xia1shuo1
绣花	xiu4hua1
摇摆	yao2bai3
阴雨	yin1yu3
英镑	ying1bang4
宝宝	bao3bao5
插手	cha1shou3
毒素	du2su4
恶狠狠	e4hen3hen3
归功	gui1gong1
海平面	hai3ping2mian4
混杂	hun4za2
火车头	huo3che1tou2
奖状	jiang3zhuang4
景致	jing3zhi4
恐吓	kong3he4
目击者	mu4ji1zhe3
恼火	nao3huo3
骑士	qi2shi4
跷	qiao1
清秀	qing1xiu4
伤人	shang1ren2
外套	wai4tao4
幼小	you4xiao3
自豪感	zi4hao2gan3
本县	ben3xian4
避难	bi4’nan4
服刑	fu2xing2
混沌	hun4dun4
矜持	jin1chi2
宽度	kuan1du4
立于	li4yu2
寥寥	liao2liao2
没	mei2
女仆	nü3pu2
庞	pang2
哨兵	shao4bing1
巳	si4
象牙	xiang4ya2
意味深长	yi4wei4shen1chang2
装束	zhuang1shu4
成倍	cheng2bei4
第一手	di4yi1shou3
方便面	fang1bian4mian4
方正	fang1zheng4
浩然	hao4ran2
换句话说	huan4ju4hua4shuo1
黄帝	Huang2di4
技法	ji4fa3
锹	qiao1
切合	qie4he2
骚	sao1
天河	Tian1he2
文官	wen2guan1
嬉戏	xi1xi4
小报	xiao3bao4
兴味	xing4wei4
以东	yi3dong1
安顿	an1dun4
病痛	bing4tong4
畅快	chang4kuai4
单个儿	dan1ge4r5
勾当	gou4dang4
会战	hui4zhan4
借以	jie4yi3
决意	jue2yi4
科考	ke1kao3
美食	mei3shi2
日用	ri4yong4
赡养	shan4yang3
逃亡	tao2wang2
疼爱	teng2ai4
阳性	yang2xing4
站台	zhan4tai2
征订	zheng1ding4
粉末	fen3mo4
膏	gao1
挂帅	gua4shuai4
糠	kang1
理事国	li3shi4guo2
连日	lian2ri4
茂盛	mao4sheng4
迷惘	mi2wang3
脾	pi2
银河	Yin2he2
应声	ying4sheng1
园艺	yuan2yi4
斟酌	zhen1zhuo2
正经	zheng4jing5
作弊	zuo4bi4
斑斑	ban1ban1
边陲	bian1chui2
编撰	bian1zhuan4
不迭	bu4die2
参赞	can1zan4
恶毒	e4du2
赶不上	gan3bu5shang4
光棍儿	guang1gun4r5
回忆录	hui2yi4lu4
技术革命	ji4shu4 ge2ming4
渴求	ke3qiu2
空荡荡	kong1dang4dang4
批斗	pi1dou4
飘浮	piao1fu2
心绪	xin1xu4
行署	xing2shu3
研讨班	yan2tao3ban1
耀	yao4
抑或	yi4huo4
硬要	ying4yao4
真伪	zhen1-wei3
巴结	ba1jie5
波澜壮阔	bo1lan2-zhuang4kuo4
惨案	can3an4
晨报	chen2bao4
吠	fei4
呼吸道	hu1xi1dao4
季节性	ji4jie2xing4
剧组	ju4zu3
老话	lao3hua4
联谊	lian2yi4
略微	lüe4wei1
苗头	miao2tou5
沤	ou4
飘逸	piao1yi4
迫在眉睫	po4zai4mei2jie2
切割	qie1ge1
切齿	qie4chi3
外文	wai4wen2
虚实	xu1shi2
足坛	zu2tan2
本该	ben3gai1
不言而喻	bu2 yan2 er2 yu4
茶壶	cha2 hu2
锤炼	chui2lian4
大政方针	da4zheng4 fang1zhen1
调拨	diao4bo1
调任	diao4ren4
飞奔	fei1ben1
高寒	gao1han2
近海	jin4hai3
考查	kao3cha2
可巧	ke3qiao3
腼腆	mian3tian3
渺小	miao2xiao3
强加	qiang2jia1
清廉	qing1lian2
山乡	shan1xiang1
时至今日	shi2zhi4jin1ri4
现时	xian4shi2
忧心忡忡	you1xin1chong1chong1
晕倒	yun1dao3
终审	zhong1shen3
冰雹	bing1bao2
沓	ta4
改称	gai3cheng1
孤单	gu1dan1
怪事	guai4shi4
季风	ji4feng1
监禁	jian1jin4
句号	ju4hao4
诺言	nuo4yan2
迁入	qian1ru4
钱包	qian2bao1
切要	qie4yao4
锐利	rui4li4
圣洁	sheng4jie2
庭审	ting2shen3
夏粮	xia4liang2
血缘	xue4yuan2
应市	ying4shi4
有数	you3shu4
张力	zhang1li4
殖民主义	zhi2min2 zhu3yi4
庄园	zhuang1yuan2
安放	an1fang4
重振	chong2zhen4
绸缎	chou2duan4
大势所趋	da4shi4-suo3qu1
抵挡	di3dang3
粉尘	fen3chen2
话头	hua4tou2
决计	jue2ji4
老板娘	lao3ban3niang2
鳞	lin2
任性	ren4xing4
商品化	shang1pin3hua4
随地	sui2di4
停泊	ting2bo1
无异	wu2yi4
优于	you1yu2
原子核	yuan2zi3he2
憎恨	zeng1hen4
奔放	ben1fang4
瘪	bie3
衬托	chen4tuo1
丰功伟绩	feng1gong1-wei3ji4
甘于	gan1yu2
港人	Gang3ren2
归功于	gui1gong1 yu2
柜子	gui4zi5
开导	kai1dao3
苦衷	ku3zhong1
满面	man3mian4
桥牌	qiao2pai2
试制	shi4zhi4
挺身而出	ting3shen1er2chu1
晚霞	wan3xia2
沃土	wo4tu3
音符	yin1fu2
早起	zao3qi3
宅基地	zhai2ji1di4
侦探小说	zhen1tan4 xiao3shuo1
专卖店	zhuan1mai4dian4
总分	zong3fen1
嘲弄	chao2nong4
程式	cheng2shi4
串联	chuan4lian2
大团结	da4tuan2jie2
纷争	fen1zheng1
丰产	feng1chan3
丰盛	feng1sheng4
风能	feng1neng2
惊呆	jing1dai1
卖淫	mai4yin2
士卒	shi4zu2
手提	shou3ti2
岁末	sui4mo4
游泳池	you2yong3chi2
语义	yu3yi4
蕴涵	yun4han2
变量	bian4liang4
残废	can2fei4
潮汐	chao2xi1
筹委会	chou2wei3hui4
击退	ji1tui4
嘹亮	liao2liang4
临时工	lin2shi2gong1
落伍	luo4wu3
门下	men2xia4
密集型	mi4ji2xing2
面包车	mian4bao1che1
剖	pou1
潜水	qian2shui3
顷	qing3
先发制人	xian1fa1-zhi4ren2
小行星	xiao3xing2xing1
笑眯眯	xiao4mi1mi1
造诣	zao4yi4
政令	zhen4ling4
包厢	bao1xiang1
钵	bo1
当先	dang1xian1
到头	dao4tou2
愕然	e4ran2
法纪	fa3ji4
共同点	gong4tong2dian3
回响	hui2xiang3
浇灌	jiao1guan4
螺旋	luo2xuan2
轻工业	qing1gong1ye4
审慎	shen3shen4
升降	sheng1-jiang4
水系	shui3xi4
维吾尔族	Wei2wu2er3zu2
戏院	xi4yuan4
小米	xiao3mi3
眼睁睁	yan3zheng1zheng1
盎然	ang4ran2
得胜	de2sheng4
负伤	fu4shang1
洪灾	hong2zai1
及格	ji2ge2
酒会	jiu3hui4
救护车	jiu4hu4che1
刊发	kan1fa1
扫地	sao3 di4
沙沙	sha1sha1
时时刻刻	shi2shi2-ke4ke4
紊乱	wen3luan4
问卷	wen4juan4
武士	wu3shi4
烟袋	yan1dai4
瞻仰	zhan1yang3
展位	zhan3wei4
族人	zu2ren2
表象	biao3xiang4
床沿	chuang2yan2
跺	duo4
高强	gao1qiang2
洪流	hong2liu2
吉隆坡	Ji2long2po1
捋	lü3
秘诀	mi4jue2
女将	nü3jiang4
皮革	pi2ge2
取名	qu3ming2
三包	san1bao1
特约	te4yue1
天涯	tian1ya2
脱口	tuo1kou3
心甘情愿	xin1gan1 qing2yuan4
珠子	zhu1zi5
并行	bing4xing2
端详	duan1xiang2
断流	duan4liu2
服药	fu2yao4
进退	jin4tui4
拉扯	la1che5
私有制	si1you3zhi4
选编	xuan3bian1
眼帘	yan3lian2
一刀切	yi1dao1qie1
营房	ying2fang2
友善	you3shan4
着装	zhuo2zhuang1
出租汽车	chu1zu1 qi4che1
初具规模	chu1ju4gui1mo2
独占	du2zhan4
发源地	fa1yuan2di4
仿真	fang3zhen1
改动	gai3dong4
广袤	guang3mao4
欢送	huan1song4
涣散	huan4san4
捷径	jie2jing4
九州	jiu3zhou1
韭菜	jiu3cai4
惧怕	ju4pa4
可否	ke3fou3
宽厚	kuan1hou4
理论界	li3lun4jie4
沥青	li4qing1
美育	mei3yu4
篷	peng2
青天	qing1tian1
山歌	shan1ge1
尸首	shi1shou5
藤椅	teng2yi3
铁矿	tie3kuang4
中风	zhong4feng1
畜生	chu4sheng5
底细	di3xi4
蹲点	dun1dian3
多彩	duo1cai3
根除	gen1chu2
孤寡	gu1gua3
孤零零	gu1ling2ling2
减速	jian3su4
静态	jing4tai4
开动	kai1dong4
挎	kua4
凉风	liang2feng1
刷卡	shua1ka3
原名	yuan2ming2
辙	zhe2
白银	bai2yin2
保护价	bao3hu4jia4
驳斥	bo2chi4
藏身	cang2shen1
查实	cha2shi2
出狱	chu1yu4
厄运	e4’yun4
告急	gao4ji2
沽	gu1
河面	he2mian4
轰鸣	hong1ming2
交费	jiao1fei4
惊险	jing1xian3
举世	ju3shi4
买主	mai3zhu3
毛笔	mao2bi3
母校	mu3xiao4
男士	nan2shi4
寝室	qin3shi4
省事	sheng3shi4
盛装	sheng4zhuang1
停工	ting2gong1
头皮	tou2pi2
五彩	wu3cai3
西非	Xi1 Fei1
鞋底	xie2di3
羞辱	xiu1ru3
演进	yan3jin4
引路	yin3lu4
游牧	you2mu4
朝气蓬勃	zhao1qi4 peng2bo2
住址	zhu4zhi3
注销	zhu4xiao1
转战	zhuan3zhan4
追忆	zhui1yi4
啊呀	a1ya1
不屈不挠	bu4qu1-bu4nao2
苍凉	cang1liang2
缠绵	chan2mian2
厂矿	chang3kuang4
出众	chu1zhong4
出主意	chu1 zhu3yi4
大气	da4qi4
机灵	ji1ling5
京郊	Jing1jiao1
扣子	kou4zi5
立交桥	li4jiao1qiao2
脸皮	lian3pi2
琳琅满目	lin2lang2-man3mu4
裸体	luo3ti3
满眼	man3yan3
清贫	qing1pin2
射门	she4men2
视而不见	shi4er2bu4jian4
添置	tian1zhi4
土著	tu3zhu4
喜气洋洋	xi3qi4 yang2yang2
有声	you3sheng1
战区	zhan4qu1
氨基酸	an1ji1suan1
悲凉	bei1liang2
剁	duo4
汞	gong3
化身	hua4shen1
火气	huo3qi4
锦绣	jin3xiu4
军心	jun1xin1
宽裕	kuan1yu4
礼节	li3jie2
庙宇	miao4yu3
亲吻	qin1wen3
鲨鱼	sha1yu2
爽朗	shuang3lang3
文化宫	wen2hua4gong1
窝囊	wo1nang5
须知	xu1zhi1
幽灵	you1ling2
字形	zi4xing2
班车	ban1che1
比不上	bi3bu5shang4
常态	chang2tai4
初年	chu1nian2
错案	cuo4an4
短篇	duan3pian1
风头	feng1tou5
馆子	guan3zi5
后裔	hou4yi4
集约	ji2yue1
教研室	jiao4yan2shi4
净增	jing4zeng1
拉力	la1li4
亮光	liang4guang1
绳索	sheng2suo3
凶狠	xiong1hen3
照应	zhao4ying4
包庇	bao1bi4
嘲讽	chao2feng3
迟钝	chi2dun4
府上	fu3shang5
官府	guan1fu3
核对	he2dui4
集中营	ji2zhong1ying2
近视	jin4shi4
淋漓尽致	lin2li2-jin4zhi4
绺	liu3
逆转	ni4zhuan3
贫瘠	pin2ji2
痊愈	quan2yu4
人际	ren2ji4
水生	shui3sheng1
挖苦	wa1ku5
吁	yu4
鸦片战争	Ya1pian4 Zhan4zheng1
养生	yang3sheng1
有目共睹	you3mu4-gong4du3
阵亡	zhen4wang2
追悼会	zhui1dao4hui4
白条	bai2tiao2
保暖	bao3nuan3
产妇	chan3fu4
橱窗	chu2chuang1
次序	ci4xu4
从重	cong2zhong4
存活	cun2huo2
翡翠	fei3cui4
过期	guo4qi1
克扣	ke4kou4
明儿	ming2r5
配制	pei4zhi4
起家	qi3jia1
桥头	qiao2tou2
时效	shi2xiao4
抒	shu1
刷新	shua1xin1
五彩缤纷	wu3cai3-bin1fen1
显示器	xian3shi4qi4
新编	xin1bian1
战功	zhan4gong1
中性	zhong1xing4
自由主义	zi4you2zhu3yi4
作曲	zuo4qu3
包干儿	bao1gan1r5
裁缝	cai2feng5
电量	dian4liang4
定型	ding4xing2
反应堆	fan3ying4dui1
古镇	gu3zhen4
嚎	hao2
挤压	ji3ya1
录音机	lu4yin1ji1
农工	nong2gong1
审判长	shen3pan4zhang3
盛事	sheng4shi4
收养	shou1yang3
应征	ying4zheng1
游记	you2ji4
原著	yuan2zhu4
装卸	zhuang1xie4
自省	zi4xing3
仇人	chou2ren2
地价	di4jia4
计策	ji4ce4
价位	jia4wei4
间或	jian4huo4
帘子	lian2zi5
民乐	min2yue4
年长	nian2zhang3
尿素	niao4su4
怒火	nu4huo3
企业化	qi3ye4hua4
群落	qun2luo4
视听	shi4ting1
受罪	shou4zui4
铁匠	tie3jiang5
作成	zuo4cheng2
摆布	bai3bu5
饼干	bing3gan1
大赦	da4she4
玖	jiu3
老字号	lao3zi4hao4
立国	li4guo2
利润率	li4run4lü4
捏造	nie1zao4
浓烟	nong2yan1
弱化	ruo4hua4
手足	shou3zu2
书市	shu1shi4
坍塌	tan1ta1
天皇	tian1huang2
无为	wu2wei2
仙女	xian1nü3
专页	zhuan1ye4
字画	zi4hua4
摆弄	bai3nong4
比比皆是	bi3bi3-jie1shi4
步履	bu4lü3
大革命	da4ge2ming4
敌机	di2ji1
顶尖	ding3jian1
放养	fang4yang3
公演	gong1yan3
海港	hai3gang3
荒芜	huang1wu2
黄花	huang2hua1
进言	jin4yan2
空闲	kong4xian2
民风	min2feng1
欠账	qian4zhang4
儒学	ru2xue2
锐意	rui4yi4
四合院	si4he2yuan4
委婉	wei3wan3
预告	yu4gao4
杂物	za2wu4
催化	cui1hua4
挫伤	cuo4shang1
殆尽	dai4jin4
扼杀	e4sha1
构图	gou4tu2
顾忌	gu4ji4
患难	huan4nan4
密密麻麻	mi4mi5ma2ma2
铺天盖地	pu1tian1-gai4di4
人世间	ren2shi4 jian1
死角	si3jiao3
所到之处	suo3dao4zhi1chu4
挺直	ting3zhi2
透镜	tou4jing4
悉数	xi1shu4
悉心	xi1xin1
溪水	xi1shui3
写意	xie4yi4
有别	you3bie2
有礼	you3li3
杂质	za2zhi4
战败	zhan4bai4
种族主义	zhong3zu2zhu3yi4
主儿	zhu3r5
坠落	zhui4luo4
座无虚席	zuo4wu2xu1xi2
保温	bao3wen1
搏击	bo2ji1
沉积物	chen2ji1wu4
兑付	dui4fu4
赶路	gan3lu4
告终	gao4zhong1
鼾声	han1sheng1
红领巾	hong2ling3jin1
开刀	kai1dao1
漫天	man4tian1
门框	men2kuang4
魔术	mo2shu4
瘦弱	shou4ruo4
行不通	xing2bu5tong1
遥望	yao2wang4
雨天	yu3tian1
标致	biao1zhi4
篡改	cuan4gai3
二胡	er4hu2
复审	fu4shen3
讥讽	ji1feng3
加速度	jia1su4du4
降幅	jiang4fu2
迸发	beng4fa1
拉手	la1shou3
涉及面	she4ji2mian4
世家	shi4jia1
首发式	shou3fa1shi4
数控	shu4kong4
医科	yi1ke1
征途	zheng1tu2
植入	zhi2ru4
纸币	zhi3bi4
周全	zhou1quan2
烛光	zhu2guang1
自然规律	zi4ran2 gui1lü4
总则	zong3ze2
混战	hun4zhan4
激怒	ji1nu4
惊惶	jing1huang2
竞争机制	jing4zheng1 ji1zhi4
军属	jun1shu3
山口	shan1kou3
闪动	shan3dong4
瓦房	wa3fang2
五颜六色	wu3 yan2 liu4 se4
心怀	xin1huai2
血吸虫	xue4xi1chong2
怨气	yuan4qi4
约束力	yue1shu4li4
闸门	zha2men2
别开生面	bie2kai1-sheng1mian4
不俗	bu4su2
草草	cao3cao3
车展	che1zhan3
古董	gu3dong3
广交	guang3jiao1
号角	hao4jiao3
皇宫	huang2gong1
狂欢	kuang2huan1
拉丁美洲	La1ding1 Mei3zhou1
偏爱	pian1’ai4
起始	qi3shi3
腔调	qiang1diao4
取材	qu3cai2
取长补短	qu3chang2-bu3duan3
取经	qu3jing1
扫帚	sao4zhou5
食用菌	shi2yong4jun1
位移	wei4yi2
无形中	wu2xing2zhong1
靴	xue1
一揽子	yi1lan3zi5
专长	zhuan1chang2
版图	ban3tu2
病历	bing4li4
初恋	chu1lian4
床铺	chuang2pu4
词句	ci2ju4
富翁	fu4weng1
纪事	ji4shi4
旧时	jiu4shi2
轮换	lun2huan4
漠视	mo4shi4
轻而易举	qing1er2yi4ju3
日语	ri4yu3
死尸	si3shi1
头绪	tou2xu4
漩涡	xuan2wo1
央求	yang1qiu2
蚁	yi3
紫禁城	Zi3jin4cheng2
宠爱	chong3’ai4
纷乱	fen1luan4
感伤	gan3shang1
键盘	jian4pan2
敬老院	jing4lao3yuan4
开具	kai1ju4
旷野	kuang4ye3
拉力赛	la1li4sai4
连绵	lian2mian2
凝望	ning2wang4
饰演	shi4yan3
听课	ting1ke4
相间	xiang1jian4
招致	zhao1zhi4
朝日	zhao1ri4
枝头	zhi1tou2
忠厚	zhong1hou4
白血病	bai2xue4bing4
大众化	da4zhong4hua4
复出	fu4chu1
敢当	gan3dang1
荒诞	huang1dan4
歼灭	jian1mie4
剪彩	jian3cai3
流利	liu2li4
隆起	long2qi3
旅居	lü3ju1
恼怒	nao3nu4
脑壳	nao3ke2
石桥	shi2qiao2
水路	shui3lu4
送交	song4jiao1
逃犯	tao2fan4
妄想	wang4xiang3
心坎	xin1kan3
长相	zhang3xiang4
正色	zheng4se4
中盘	zhong1pan2
中型	zhong1xing2
子弟兵	zi3di4bing1
晨曦	chen2xi1
法郎	fa3lang2
吼叫	hou3jiao4
机关报	ji1guan1bao4
讲理	jiang3li3
浸润	jin4run4
久违	jiu3wei2
决断	jue2duan4
可敬	ke3jing4
连环	lian2huan2
遛	liu4
气节	qi4jie2
求救	qiu2jiu4
圈套	quan1tao4
烧香	shao1xiang1
蛙泳	wa1yong3
映照	ying4zhao4
猜疑	cai1yi2
顶级	ding3ji2
独生子女	du2sheng1 zi3nü3
厄尔尼诺	e4er3ni2nuo4
放纵	fang4zong4
共谋	gong4mou2
癸	gui3
评介	ping2jie4
完事	wan2shi4
无机	wu2ji1
语重心长	yu3zhong4-xin1chang2
运载	yun4zai4
不屈	bu4qu1
菜地	cai4di4
雏形	chu2xing2
登极	deng1ji2
调离	diao4li2
赌场	du3chang3
粉红	fen3hong2
扶植	fu2zhi2
工匠	gong1jiang4
忌讳	ji4hui4
眷恋	juan4lian4
门楼	men2lou2
山水画	shan1shui3hua4
舍弃	she3qi4
社会活动	she4hui4 huo2dong4
琐碎	suo3sui4
桃子	tao2zi5
同化	tong2hua4
下方	xia4fang1
应运	ying4yun4
摘取	zhai1qu3
直流	zhi2liu2
总厂	zong3chang3
帮手	bang1shou3
闭门	bi4men2
大人物	da4 ren2wu4
大项	da4xiang4
地膜	di4mo2
帝制	di4zhi4
福音	fu2yin1
哥们儿	ge1men5r5
后背	hou4bei4
截断	jie2duan4
径流	jing4liu2
密布	mi4bu4
属实	shu3shi2
算计	suan4ji5
天命	tian1ming4
吐蕃	Tu3bo1
外力	wai4li4
妖精	yao1jing5
衣食	yi1shi2
直立	zhi2li4
装机	zhuan3ji1
保税区	bao3shui4qu1
不亚于	bu4ya4yu2
登时	deng1shi2
光环	guang1huan2
好手	hao3shou3
火化	huo3hua4
计票	ji4piao4
立足点	li4zu2dian3
了事	liao3shi4
煤窑	mei2yao2
青年团	qing1nian2tuan2
全权大使	quan2quan2 da4shi3
市镇	shi4zhen4
熟识	shu2shi5
同声	tong2sheng1
统称	tong3cheng1
相交	xiang1jiao1
烟叶	yan1ye4
一色	yi1se4
雨点	yu3dian3
中古	zhong1gu3
诸君	zhu1jun1
字句	zi4ju4
祖祖辈辈	zu3zu3 bei4bei4
本职	ben3zhi2
捕获	bu3huo4
杜鹃	du4juan1
发稿	fa1gao3
封闭式	feng1bi4shi4
浸透	jin4tou4
老公	lao3gong1
老龄化	lao3ling2hua4
漫不经心	man4 bu4 jing1 xin1
锐减	rui4jian3
赛程	sai4cheng2
圣诞节	sheng4dan4jie2
试探	shi4tan4
俗语	su2yu3
委任	wei3ren4
无畏	wu2wei4
银屏	yin2ping2
伫立	zhu4li4
奏效	zou4xiao4
打黑	da3hei1
带子	dai4zi5
复发	fu4fa1
港台	Gang3-Tai2
过瘾	guo4yin3
良田	liang2tian2
麻袋	ma2dai4
深海	shen1hai3
失常	shi1chang2
史书	shi3shu1
替换	ti4huan4
投奔	tou2ben4
往昔	wang3xi1
新娘子	xin1niang2zi5
雄性	xiong2xing4
元气	yuan2qi4
记忆犹新	ji4yi4-you2xin1
家常	jia1chang2
螺	luo2
美貌	mei3mao4
逆境	ni4jing4
清爽	qing1shuang3
小学校	xiao3xue2xiao4
远望	yuan3wang4
把守	ba3shou3
单人	dan1ren2
寒暄	han2xuan1
胡思乱想	hu2si1-luan4xiang3
继承人	ji4cheng2ren2
进行曲	jin4xing2qu3
平定	ping2ding4
蚯蚓	qiu1yin3
特产	te4chan3
舞会	wu3hui4
眼科	yan3ke1
再审	zai4shen3
重头戏	zhong4tou2xi4
孢子	bao1zi3
笨拙	ben4zhuo4
仓皇	cang1huang2
大堂	da4tang2
肤色	fu1se4
复合型	fu4'he2'xing2
公债	gong1 zhai4
据称	ju4cheng1
军情	jun1qing2
矿石	kuang4shi2
奴隶主	nu2li4zhu3
随时随地	sui2shi2 sui2di4
亵渎	xie4du2
雄风	xiong2feng1
追查	zhui1cha2
安居	an1ju1
根子	gen1zi5
好儿	hao3r5
金光	jin1guang1
联欢会	lian2huan1hui4
落空	luo4kong1
门帘	men2lian2
那般	na4ban1
内河	nei4he2
评书	ping2shu1
青色	qing1se4
燃煤	ran2mei2
人治	ren2zhi4
森严	sen1yan2
失明	shi1ming2
